"codigo_origem";"descricao_original";"unidade_origem";"produto_canonico";"marca";"categoria";"nome_variante";"unidade_canonica";"atributos"
"goevo:000040";"FITA TELADA P/ CIMENTICIA 51MMX46M WALSYWA";"UN";"Fita Telada para Cimenticia Walsywa";"Walsywa";"Drywall";"51 mm 46 m";"UN";"Largura=51 mm | Comprimento=46 m"
"goevo:000041";"CANALETA DRYWALL F-530 3000MM";"UN";"Canaleta Drywall F-530";"";"Drywall";"3 m";"UN";"Comprimento=3 m"
"goevo:000042";"MONTANTE DRYWALL 48 X 30 X 3000MM";"UN";"Montante Drywall";"";"Drywall";"48x30 mm 3 m";"UN";"Dimensao=48x30 mm | Comprimento=3 m"
"goevo:000043";"CANTONEIRA DRYWALL 25 X 30 X 3000 MM";"UN";"Cantoneira Drywall";"";"Drywall";"25x30 mm 3 m";"UN";"Dimensao=25x30 mm | Comprimento=3 m"
"goevo:000044";"PLASTICO BOLHA 1 X 100 MTS";"UN";"Plastico Bolha";"";"Embalagem";"1 m x 100 m";"UN";"Largura=1 m | Comprimento=100 m"
"goevo:000045";"CANALETA X 20LX10A 2MTS C ADES.C DIVSORIA - STECK";"PC";"Canaleta com Divisoria Steck";"Steck";"Eletrica";"20x10 mm 2 m Com Adesivo";"PC";"Dimensao=20x10 mm | Comprimento=2 m | Observacao=Com Adesivo e Divisoria"
"goevo:000046";"PLACA CONDULET ALUM POLIDO 3 4 1TOMADA REDONDA - SIEG";"PC";"Placa Condulet Aluminio Polido Sieg";"Sieg";"Eletrica";"3/4"" 1 Tomada Redonda";"PC";"Bitola=3/4"" | Configuracao=1 Tomada Redonda"
"goevo:000047";"CONDULET ALUM MULTIPLO S PLACA 3 4 X - SIEG";"PC";"Condulet Aluminio Multiplo Sieg";"Sieg";"Eletrica";"3/4"" X Sem Placa";"PC";"Bitola=3/4"" | Tipo=X | Observacao=Sem Placa"
"goevo:000048";"UNIDUT CONICO 3 4 - SIEG";"PC";"Unidut Conico Sieg";"Sieg";"Eletrica";"3/4""";"PC";"Bitola=3/4"""
"goevo:000049";"TAMPAO PVC CONDULET 1 - SIEG";"PC";"Tampao PVC Condulet Sieg";"Sieg";"Eletrica";"1""";"PC";"Bitola=1"""
"goevo:000050";"PLAFON LED EMBUTIR 18W BIV 2700K REDONDO";"PC";"Plafon LED Embutir Redondo";"";"Iluminacao";"18W 2700K Bivolt";"PC";"Potencia=18 W | Voltagem=Bivolt | Temperatura=2700K"
"goevo:000051";"LUMINARIA LED EMBUTIR 12W BIV 3000K REDONDA PRETA";"PC";"Luminaria LED Embutir Redonda";"";"Iluminacao";"12W 3000K Bivolt Preta";"PC";"Potencia=12 W | Voltagem=Bivolt | Temperatura=3000K | Cor=Preta"
"goevo:000052";"CABO DE REDE CAT6 CX 305M VM - MEGATRON*";"CX";"Cabo de Rede CAT6 Megatron";"Megatron";"Informatica";"305 m Vermelho";"CX";"Comprimento=305 m | Cor=Vermelho"
"goevo:000053";"LAMPADA TUBOLED T8 9W 6000K - LEDBEE";"PC";"Lampada Tuboled T8 Ledbee";"Ledbee";"Iluminacao";"9W 6000K";"PC";"Potencia=9 W | Temperatura=6000K"
"goevo:000054";"CANALETA X 20LX10A 2,00MTS C DIVISORIA S ADESIVO - PERLEX";"BR";"Canaleta com Divisoria Perlex";"Perlex";"Eletrica";"20x10 mm 2 m Sem Adesivo";"BR";"Dimensao=20x10 mm | Comprimento=2 m | Observacao=Sem Adesivo"
"goevo:000055";"BATERIA 9V ALCALINA - PANASONIC";"PC";"Bateria 9V Alcalina Panasonic";"Panasonic";"Eletrica";"Padrao";"PC";""
"goevo:000056";"TOMADA EMBUTIR 2P+T PB 20A 250V BRANCA S PLACA RED - BUILDING";"PC";"Tomada Embutir Building";"Building";"Eletrica";"2P+T 20A 250V Branca Sem Placa";"PC";"Tipo=2P+T | Corrente=20 A | Voltagem=250 V | Cor=Branca | Observacao=Sem Placa"
"goevo:000057";"TOMADA SOB X 2TOM 2P+T PB 10A 250V - PERLEX";"PC";"Tomada Sobrepor Perlex";"Perlex";"Eletrica";"2 Tomadas 2P+T 10A 250V";"PC";"Configuracao=2 Tomadas | Tipo=2P+T | Corrente=10 A | Voltagem=250 V"
"goevo:000058";"LESTNIDP SENSOR PRESENCA TETO MICROCONT. INRSH CONTROL COM DIP LESTNIDP";"PC";"Sensor Presenca Teto Microcontrolado Inrsh Control";"Inrsh Control";"Eletrica";"LESTNIDP Com DIP";"PC";"Modelo=LESTNIDP | Observacao=Com DIP"
"goevo:000059";"LUM LED SPOT DIRECIONAVEL 7W 3000K REDONDA BIVOLT - GALAXY LED";"PC";"Luminaria LED Spot Direcionavel Redonda Galaxy LED";"Galaxy LED";"Iluminacao";"7W 3000K Bivolt";"PC";"Potencia=7 W | Temperatura=3000K | Voltagem=Bivolt"
"goevo:000060";"LAMP LED FILAMENTO G45 2W BIV E27 2200K 180LM - IMPORTADO";"PC";"Lampada LED Filamento G45";"";"Iluminacao";"2W E27 2200K Bivolt";"PC";"Potencia=2 W | Voltagem=Bivolt | Base=E27 | Temperatura=2200K | Fluxo Luminoso=180 lm"
"goevo:000061";"LAMP LED FILAMENTO RETRO ST64 4W BIV E27 2200K 36 - IMPORTADO";"PC";"Lampada LED Filamento Retro ST64";"";"Iluminacao";"4W E27 2200K Bivolt";"PC";"Potencia=4 W | Voltagem=Bivolt | Base=E27 | Temperatura=2200K"
"goevo:000062";"LAMP LED FILAMENTO G80 4W BIV E27 2200K 360LM - IMPORTADO";"PC";"Lampada LED Filamento G80";"";"Iluminacao";"4W E27 2200K Bivolt";"PC";"Potencia=4 W | Voltagem=Bivolt | Base=E27 | Temperatura=2200K | Fluxo Luminoso=360 lm"
"goevo:000063";"LAMPADA LED FILAMENTO G125 4W BIV E27 2200K 360LM";"PC";"Lampada LED Filamento G125";"";"Iluminacao";"4 W E27 2200K 360 lm";"PC";"Potencia=4 W | Voltagem=Bivolt | Base=E27 | Temperatura=2200K | Fluxo Luminoso=360 lm"
"goevo:000064";"CANALETA REC ABERTO 22X 22MM 2MT (BXA) CZ 105070 DUTOPLAST";"PC";"Canaleta Retangular Aberta Dutoplast";"Dutoplast";"Eletrica";"22x22 mm 2 m Cinza";"PC";"Dimensao=22x22 mm | Comprimento=2 m | Cor=Cinza | Modelo=BXA 105070"
"goevo:000065";"FITA CREPE ADELBRAS 24MMX50M";"UN";"Fita Crepe Adelbras";"Adelbras";"Pintura";"24 mm x 50 m";"UN";"Largura=24 mm | Comprimento=50 m"
"goevo:000066";"FECHADURA 0871 P/ARMARIO 180 22MM CROMADO";"PC";"Fechadura para Armario Ref. 0871";"";"Ferragem";"180 mm 22 mm Cromado";"PC";"Comprimento Haste=180 mm | Bitola=22 mm | Acabamento=Cromado"
"goevo:000067";"FECHADURA 3288 FRONTAL P/GAVETEIRO S/ACESS 1 ABA NIQUEL";"PC";"Fechadura Frontal para Gaveteiro Ref. 3288";"";"Ferragem";"1 Aba Niquel";"PC";"Tipo=1 Aba | Acabamento=Niquel | Observacao=Sem Acessorio"
"goevo:000068";"EVAPORADORA LG MULTI INVERTER HIWALL 09.000 BTUS 220V";"PC";"Evaporadora LG Multi Inverter Hi-Wall";"LG";"Climatizacao";"9.000 BTUs 220 V";"PC";"Capacidade=9.000 BTUs | Voltagem=220 V"
"goevo:000069";"EVAPORADORA LG MULTI INVERTER HIWALL 19.100 BTUS,220V,QF, MOD. AMNW18GSKA0.EMBTBRZ";"PC";"Evaporadora LG Multi Inverter Hi-Wall";"LG";"Climatizacao";"19.100 BTUs 220 V";"PC";"Capacidade=19.100 BTUs | Voltagem=220 V | Modelo=AMNW18GSKA0.EMBTBRZ"
"goevo:000070";"CONDENSADORA LG MULTI INVERTER 30.000 BTU,220V,QF, MOD. A4UW30GFA2.AWGZBRZ";"PC";"Condensadora LG Multi Inverter";"LG";"Climatizacao";"30.000 BTUs 220 V";"PC";"Capacidade=30.000 BTUs | Voltagem=220 V | Modelo=A4UW30GFA2.AWGZBRZ"
"goevo:000071";"LONA PLASTICA 4 X 100 PRETA 15 KILO MICRAS 50/60";"UN";"Lona Plastica Preta";"";"Embalagem";"4 x 100 m 15 micras";"UN";"Dimensao=4 x 100 m | Espessura=15 micras | Peso=50/60 kg"
"goevo:000072";"TUBO QUADRADO 25X25 - 1.50P.";"BR";"Tubo Quadrado Aco";"";"Estrutura";"25x25 mm 1,50 mm";"BR";"Dimensao=25x25 mm | Espessura=1,50 mm"
"goevo:000073";"ANEL COMUM 50MM 2 TIGRE";"UN";"Anel Comum Tigre";"Tigre";"Hidraulica";"50 mm";"UN";"Diametro=50 mm"
"goevo:000074";"ANEL COMUM 100MM 4 TIGRE";"UN";"Anel Comum Tigre";"Tigre";"Hidraulica";"100 mm";"UN";"Diametro=100 mm"
"goevo:000075";"REDUC ESGOTO 150X100 6X4 TIGRE";"UN";"Reducao Esgoto Tigre";"Tigre";"Hidraulica";"150x100 mm";"UN";"Diametro=150x100 mm"
"goevo:000076";"GRAMPEADOR PLAST 26/6 25FL 13CM A17 PTO";"UN";"Grampeador Plastico A17";"";"Escritorio";"26/6 25 Folhas Preto";"UN";"Capacidade=25 folhas | Grampo=26/6 | Tamanho=13 cm | Cor=Preto"
"goevo:000077";"CAPS ESGOTO 50MM 2 TIGRE";"UN";"Cap Esgoto Tigre";"Tigre";"Hidraulica";"50 mm";"UN";"Diametro=50 mm"
"goevo:000078";"TUB-4003 - TUBO QUADRADO 3/4 X 1/16";"PC";"Tubo Quadrado Aco";"";"Estrutura";"3/4"" x 1/16""";"PC";"Dimensao=3/4"" | Espessura=1/16"" | Modelo=TUB-4003"
"goevo:000079";"VEDACIT BIANCO 18L";"UN";"Vedacit Bianco";"Vedacit";"Impermeabilizante";"18 L";"UN";"Capacidade=18 L"
"goevo:000080";"BALCAO HORUS 1,35M PRETO FOSCO/AVELA (TAMPO AVELA)";"PC";"Balcao Horus";"";"Mobiliario";"1,35 m Preto Fosco/Avela";"PC";"Largura=1,35 m | Cor Estrutura=Preto Fosco | Cor Tampo=Avela"
"goevo:000081";"BALCAO HORUS 0,80M PRETO FOSCO/AVELA (TAMPO AVELA)";"PC";"Balcao Horus";"";"Mobiliario";"0,80 m Preto Fosco/Avela";"PC";"Largura=0,80 m | Cor Estrutura=Preto Fosco | Cor Tampo=Avela"
"goevo:000082";"DISCO LIXA FLAP UG 80 3M";"UN";"Disco Lixa Flap 3M";"3M";"Abrasivos";"Grao 80 UG";"UN";"Grao=80 | Modelo=UG"
"goevo:000083";"COTOV ESGOTO 45 100MM 4 TIGRE";"UN";"Cotovelo Esgoto 45° Tigre";"Tigre";"Hidraulica";"100 mm";"UN";"Diametro=100 mm"
"goevo:000084";"EXTINTOR PORTATIL P4 BC 20BC";"UN";"Extintor Portatil P4 BC";"";"Seguranca";"20BC";"UN";"Capacidade=20BC"
"goevo:000085";"DISJUNTOR 2P 20A C 3KA 230V IEC-60898 SD-D62C20 STECK";"PC";"Disjuntor Bipolar Steck";"Steck";"Eletrica";"2P 20 A Curva C 230 V";"PC";"Corrente=20 A | Curva=C | Capacidade Ruptura=3 kA | Voltagem=230 V | Norma=IEC-60898 | Modelo=SD-D62C20"
"goevo:000086";"COTOV ESGOTO 90 100X50MM 4X2 TIGRE";"UN";"Cotovelo Esgoto 90° Reducao Tigre";"Tigre";"Hidraulica";"100x50 mm";"UN";"Diametro=100x50 mm"
"goevo:000087";"EXAUSTOR P/BANHEIRO 150mm BIV. EXB VENTISOL";"PC";"Exaustor Axial Residencial Ventisol";"Ventisol";"Ventilacao";"150 mm Bivolt EXB";"PC";"Diametro=150 mm | Modelo=EXB | Voltagem=Bivolt"
"goevo:000088";"CHAPA GALV #26 - 0,50X1200X2000MM (ESCAMADA) NBR7008 Z100 [CHAPA 9.600] PC";"PC";"Chapa Galvanizada";"";"Chapas e Paineis";"#26 0,50 mm 1200x2000 mm";"PC";"Bitola=#26 | Espessura=0,50 mm | Dimensao=1200x2000 mm | Norma=NBR7008 Z100 | Acabamento=Escamada"
"goevo:000089";"GRAUTE SUPER 25KG QUARTZ";"UN";"Graute Super Quartz";"Quartz";"Argamassa";"25 kg";"UN";"Peso=25 kg"
"goevo:000090";"TOSI DIFUSOR FILTRO DQE-41 TAM.3";"PC";"Difusor Filtro Tosi DQE-41";"Tosi";"Ventilacao";"Tamanho 3";"PC";"Tamanho=3"
"goevo:000091";"COLA 175GRS AQUATHERM TIGRE FRASCO";"UN";"Cola Aquatherm Tigre";"Tigre";"Adesivos";"175 g Frasco";"UN";"Capacidade=175 g | Embalagem=Frasco"
"goevo:000092";"CHUMBADOR B 5/16X2.1/4 C/4 PEPFIX";"UN";"Chumbador Pepfix";"Pepfix";"Fixacao";"5/16"" x 2.1/4"" Kit 4 Pecas";"UN";"Bitola=5/16"" x 2.1/4"" | Quantidade=4 pecas | Modelo=B"
"goevo:000093";"PARAF AA PH CH 4,2 X 38MM BEMFIXA 2262";"UN";"Parafuso Autoatarrachante Philips Cabeça Chata Bemfixa";"Bemfixa";"Fixacao";"4,2 x 38 mm";"UN";"Bitola=4,2 x 38 mm | Modelo=2262"
"goevo:000094";"ISO DUTO FLEXIVEL C/ISOLACAO 06 150mm (6 MTS)";"PC";"Duto Flexível Isolado";"";"Ventilacao";"150 mm 6 m";"PC";"Diametro=150 mm (6"") | Comprimento=6 m"
"goevo:000095";"ARRUELA LISA E 5/16 C/15 PEPFIX 041";"UN";"Arruela Lisa Pepfix";"Pepfix";"Fixacao";"5/16"" com 15 peças";"UN";"Bitola=5/16"" | Quantidade=15 peças | Modelo=041"
"goevo:000096";"PORCA SEXT E 5/16 C/10 PEPFIX 574";"UN";"Porca Sextavada Pepfix";"Pepfix";"Fixacao";"5/16"" com 10 peças";"UN";"Bitola=5/16"" | Quantidade=10 peças | Modelo=574"
"goevo:000097";"EXTINTOR PORTATIL AP 10L 2A";"UN";"Extintor Portatil AP Agua";"";"Seguranca";"10 L 2A";"UN";"Capacidade=10 L | Classe=2A"
"goevo:000098";"LIXA MASSA N 60 3M";"UN";"Lixa para Massa 3M";"3M";"Abrasivos";"Grão 60";"UN";"Grao=60"
"goevo:000099";"PORCA SEXTAVADA 1/4"" (I)";"CT";"Porca Sextavada";"";"Fixacao";"1/4""";"CT";"Bitola=1/4"""
"goevo:000100";"FREON 410A DAC11,350KG IBA632668 ONU3163 C/SU2,2";"KG";"Gás Refrigerante R410A DAC";"DAC";"Climatizacao";"11,350 kg";"KG";"Peso=11,350 kg | Modelo=IBA632668 | Observacao=ONU3163 C/SU2,2"
"goevo:000101";"ROLDANA VT EXCENTRICA METAL";"PC";"Roldana Excêntrica Metal";"";"Ferragem";"VT Excêntrica";"PC";"Tipo=VT Excêntrica"
"goevo:000102";"AL3530 - FECHADURA P/ PORTA DE CORRER";"PC";"Fechadura para Porta de Correr";"";"Ferragem";"AL3530";"PC";"Modelo=AL3530"
"goevo:000103";"AL3206 - CONTRA FECHADURA ALVENARIA";"PC";"Contra Fechadura para Alvenaria";"";"Ferragem";"AL3206";"PC";"Modelo=AL3206"
"goevo:000104";"ALKIT01 PORTA SIMPLES PIVOTANTE - PRETO";"PC";"Kit Porta Pivotante Simples";"";"Ferragem";"Preto ALKIT01";"PC";"Cor=Preto | Modelo=ALKIT01"
"goevo:000105";"ABRAC TIPO GOTA I 4";"UN";"Abraçadeira Tipo Gota";"";"Fixacao";"4""";"UN";"Bitola=4"""
"goevo:000106";"VASELINA INDUSTRIAL 90GR GITANES";"UN";"Vaselina Industrial Gitanes";"Gitanes";"Manutencao";"90 g";"UN";"Peso=90 g"
"goevo:000107";"REFLETOR LED 100W RGB C/CONTROLE IP 67";"PC";"Refletor LED RGB com Controle";"";"Iluminacao";"100 W RGB IP67";"PC";"Potencia=100 W | Tipo=RGB | Proteção=IP 67"
"goevo:000108";"FITA DUPLA FACE TEK BOND 19MM X 20 M BLISTER";"UN";"Fita Dupla Face Tek Bond";"Tek Bond";"Adesivos";"19 mm x 20 m Blister";"UN";"Largura=19 mm | Comprimento=20 m | Embalagem=Blister"
"goevo:000109";"TUBO DE SILICONE INCOLOR";"UN";"Silicone Incolor";"";"Adesivos";"Incolor Tubo";"UN";"Cor=Incolor | Embalagem=Tubo"
"goevo:000110";"Piso Eucaf.Evidence-217x1357-7mm-Carv.Canela";"M2";"Piso Laminado Eucafloor Evidence";"Eucafloor";"Revestimento";"Carvalho Canela 217x1357 7mm";"M2";"Dimensao=217 x 1357 mm | Espessura=7 mm | Cor=Carvalho Canela"
"goevo:000111";"FUNDO ZARCAO 1/4 CORAL";"QT";"Fundo Zarcão Coral";"Coral";"Pintura";"1/4 galão";"QT";"Capacidade=1/4 galão"
"goevo:000112";"PERFIL U 8 MM FIXO 2,5 CM 6 METROS -PTO";"UN";"Perfil U Fixo Preto";"";"Estrutura";"8 mm 2,5 cm Preto 6 m";"UN";"Espessura Vidro=8 mm | Largura=2,5 cm | Comprimento=6 m | Cor=Preto"
"goevo:000113";"PERFIL U 8 MM CAVALINHO 6 METROS";"UN";"Perfil U Cavalinho";"";"Estrutura";"8 mm 6 m";"UN";"Espessura Vidro=8 mm | Comprimento=6 m"
"goevo:000114";"TUBO 2 X 2 (5,0 X 5,0) 6 METROS - PTO";"UN";"Tubo Quadrado Aco";"";"Estrutura";"50x50 mm Preto 6 m";"UN";"Dimensao=50x50 mm | Comprimento=6 m | Cor=Preto"
"goevo:000115";"TAPETE TECIDO SUPREME QUADROS 50/27 (MED.ESPECIAL)";"M2";"Tapete Tecido Supreme Quadros";"";"Revestimento";"50/27 Medida Especial";"M2";"Modelo=50/27 | Observacao=Medida Especial"
"goevo:000116";"WETAF COLARINHO C/REGISTRO 06 150mm";"PC";"Colarinho com Registro Wetaf";"Wetaf";"Ventilacao";"150 mm";"PC";"Diametro=150 mm (6"")"
"goevo:000117";"ESF GRAFITE ESCURO SOLVENTE 3,6L CORALIT";"GL";"Esmalte Sintético Grafite Escuro Coralit";"Coralit";"Pintura";"Grafite Escuro 3,6 L";"GL";"Cor=Grafite Escuro | Tipo=Solvente | Capacidade=3,6 L"
"goevo:000118";"SUPORTE SOLO TRIPÉ BICROMATIZADO";"UN";"Suporte Tripé Bicromatizado para Solo";"";"Fixacao";"Bicromatizado";"UN";"Acabamento=Bicromatizado"
"goevo:000119";"SERRA AR BIMETAL 24 STARRET";"UN";"Serra Fita Bimetal Starrett";"Starrett";"Ferramentas";"24 dentes";"UN";"Dentes=24 dentes"
"goevo:000120";"SERVICOS DE FRETE";"UN";"Servico de Frete";"";"Servico";"Padrao";"UN";""
"goevo:000121";"VENTOSA QUADRUPLA 100KG";"PC";"Ventosa Quádrupla";"";"Ferramentas";"100 kg";"PC";"Capacidade=100 kg"
"goevo:000122";"SINALIZAÇÃO EXTINTOR PÓ";"UN";"Placa Sinalizacao Extintor Pó";"";"Seguranca";"Extintor Pó";"UN";"Tipo=Extintor Pó"
"goevo:000123";"MOLDURA COM 2 PORTAS DE CORRER PRETO TX";"UN";"Moldura com Portas de Correr";"";"Acabamento";"2 Portas Preto TX";"UN";"Quantidade Portas=2 | Cor=Preto TX"
"goevo:000124";"ROLO ATLAS ESPUMA AMARELO 15CM";"UN";"Rolo Espuma Atlas";"Atlas";"Pintura";"Amarelo 15 cm";"UN";"Cor=Amarelo | Largura=15 cm"
"goevo:000125";"ROLO ATLAS ESPUMA AMARELO 9CM";"UN";"Rolo Espuma Atlas";"Atlas";"Pintura";"Amarelo 9 cm";"UN";"Cor=Amarelo | Largura=9 cm"
"goevo:000126";"SINALIZAÇÃO EXTINTOR ÁGUA";"UN";"Placa Sinalizacao Extintor Pó";"";"Seguranca";"Extintor Água";"UN";"Tipo=Extintor Água"
"goevo:000127";"ZARCAO 3,6L";"GL";"Fundo Zarcão Coral";"Coral";"Pintura";"3,6 L";"GL";"Capacidade=3,6 L"
"goevo:000128";"BOMBA REMOCAO COND. MAXI ORANGE 35L/H 220V.";"PC";"Bomba Remoção Condensado Maxi Orange";"Maxi Orange";"Climatizacao";"35 L/h 220 V";"PC";"Vazão=35 L/h | Voltagem=220 V"
"goevo:000129";"ADAPT JR 4""";"UN";"Adaptador JR";"";"Hidraulica";"4""";"UN";"Diametro=4"""
